"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,1,2,78,1,100,3,30,9000,"2","0009000"
2018,201801,1,1,39,1,100,6,63,43000,"1","0043000"
2018,201801,2,2,31,1,100,8,81,53000,"2","0053000"
2018,201801,1,2,62,1,100,6,63,0,"2","0000000"
2018,201801,2,1,59,1,100,11,114,391000,"1","0391000"
2018,201801,1,2,85,2,200,4,40,8400,"2","0008400"
2018,201801,1,1,54,1,100,10,101,173000,"1","0173000"
2018,201801,2,2,57,1,100,11,114,0,"2","0000000"
2018,201801,3,2,19,1,100,6,63,1500,"2","0001500"
2018,201801,4,1,26,1,100,10,101,142000,"1","0142000"
2018,201801,1,1,40,1,100,10,101,44000,"1","0044000"
2018,201801,2,2,40,1,100,10,101,45000,"2","0045000"
2018,201801,1,2,75,2,200,2,25,7200,"2","0007200"
2018,201801,2,2,1,2,200,0,1,9999999,"2","BBBBBBB"
2018,201801,1,2,44,1,100,11,114,65000,"2","0065000"
2018,201801,2,2,11,1,100,2,22,9999999,"2","BBBBBBB"
2018,201801,1,1,53,1,100,6,63,75000,"1","0075000"
2018,201801,2,2,56,1,100,6,64,65000,"2","0065000"
2018,201801,1,1,47,1,100,7,71,108200,"1","0108200"
2018,201801,2,2,44,1,100,8,81,0,"2","0000000"
2018,201801,3,2,19,1,100,6,63,5000,"2","0005000"
2018,201801,1,2,79,2,200,11,114,130000,"2","0130000"
2018,201801,1,1,21,2,200,0,2,7000,"1","0007000"
2018,201801,2,1,19,2,200,6,65,0,"1","0000000"
2018,201801,3,1,39,2,200,7,71,50000,"1","0050000"
2018,201801,4,2,19,2,200,7,71,0,"2","0000000"
2018,201801,5,2,26,2,200,8,81,20000,"2","0020000"
2018,201801,1,2,85,1,100,6,64,22700,"2","0022700"
2018,201801,1,2,40,1,100,10,101,10000,"2","0010000"
2018,201801,2,1,42,1,100,6,65,49000,"1","0049000"
2018,201801,3,2,10,1,100,1,16,9999999,"2","BBBBBBB"
2018,201801,4,2,6,1,100,1,12,9999999,"2","BBBBBBB"
2018,201801,1,2,73,2,200,6,63,22500,"2","0022500"
2018,201801,1,2,66,1,100,10,101,56300,"2","0056300"
2018,201801,1,2,42,1,100,7,71,40000,"2","0040000"
2018,201801,2,2,12,1,100,2,25,9999999,"2","BBBBBBB"
